Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
Yellow-bellied toad	Bombina variegata	Anthropogenic	NA (2019)	Government Decree on Invasive Alien Species of National Concern (1725/2015); Government Decree on Managing the Risk Caused by Alien Species (704/2019, VN 912/2023)	
Common toad	Bufo bufo	Stable population	LC (2019)		
European Green Toad	Bufotes viridis	Irregular vagrant	NA (2010)		Pseudepidalea viridis (Laurenti, 1768); Bufo viridis Laurenti, 1768
Moor frog	Rana arvalis	Stable population	LC (2019)	Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex IV; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	
Common frog	Rana temporaria	Stable population	LC (2019)	EU Habitats Directive Annex V	
Edible frog	Pelophylax esculentus	Anthropogenic; Regular vagrant	NA (2019)	Government Decree on Invasive Alien Species of National Concern (1725/2015); Government Decree on Managing the Risk Caused by Alien Species (704/2019, VN 912/2023)	
Pool frog	Pelophylax lessonae	Anthropogenic; Regular vagrant	NA (2019)	Government Decree on Invasive Alien Species of National Concern (1725/2015); Government Decree on Managing the Risk Caused by Alien Species (704/2019, VN 912/2023)	
Lake frog	Pelophylax ridibundus	Anthropogenic; Regular vagrant	NA (2019)	Government Decree on Invasive Alien Species of National Concern (1725/2015); Government Decree on Managing the Risk Caused by Alien Species (704/2019, VN 912/2023)	Rana ridibunda Pallas, 1771
Crested newt	Triturus cristatus	Stable population	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex II; EU Habitats Directive Annex IV; EU Habitats Directive Annex II, Finland's Natura species; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
Alpine newt	Ichthyosaura alpestris	Anthropogenic	NA (2019)	Government Decree on Invasive Alien Species of National Concern (1725/2015); Government Decree on Managing the Risk Caused by Alien Species (704/2019, VN 912/2023)	
Smooth newt	Lissotriton vulgaris	Stable population	LC (2019)		Triturus vulgaris (Linnaeus, 1758)
