Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
kivikkosiimahäntä	Dilta hibernica	Stable population	LC (2019)		
rantasiimahäntä	Petrobius brevistylis	Stable population	DD (2019)		Petrobius balticus Stach, 1921
Common silverfish	Lepisma saccharinum	Stable population	LC (2019)		Lepisma saccharina Linnaeus, 1758
Firebrat	Thermobia domestica	Anthropogenic; Stable population	NA (2019)	Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	Thermobia inquilina (Newman, 1863)
Four-lined silverfish	Ctenolepisma lineatum	Anthropogenic	NA (2019)		Ctenolepisma lineata (Fabricius, 1775)
Long-tailed silverfish	Ctenolepisma longicaudatum	Anthropogenic			Ctenolepisma longicaudata Escherich, 1905
Ghost Silverfish	Ctenolepisma calvum	Anthropogenic			Ctenolepisma calva (Ritter, 1910)
isokeijukorento	Lestes dryas	Stable population	LC (2019)		
sirokeijukorento	Lestes sponsa	Stable population	LC (2019)		
hentokeijukorento	Lestes virens	Irregular vagrant	NA (2019)		
lännenkirsikorento	Sympecma fusca	Irregular vagrant			
idänkirsikorento	Sympecma paedisca	Stable population	LC (2019)	Animal species that are protected in the whole country(NCD 2023/1066, Appendix 1); Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex IV; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	
immenkorento	Calopteryx splendens	Stable population	LC (2019)		
neidonkorento	Calopteryx virgo	Stable population	LC (2019)		
sulkakoipikorento	Platycnemis pennipes	Stable population	LC (2019)		
vihertytönkorento	Coenagrion armatum	Stable population	LC (2019)		
keihästytönkorento	Coenagrion hastulatum	Stable population	LC (2019)		
taigatytönkorento	Coenagrion johanssoni	Stable population	LC (2019)		
kuutytönkorento	Coenagrion lunulatum	Stable population	LC (2019)		
eteläntytönkorento	Coenagrion puella	Stable population	LC (2019)		
