Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
meripihkakotilo	Succinea putris	Stable population	LC (2019)		Helix putris
torvilokotilo	Succinella oblonga	Not established	NA (2019)		Succinea oblonga
hoikkameripihkakotilo	Oxyloma elegans	Stable population	LC (2019)		Succinea elegans; Succinea pfeifferi Rossmässler, 1835; Oxyloma pfeifferi
punameripihkakotilo	Oxyloma sarsii	Stable population	LC (2019)		Succinea sarsii
kalkkitorvilokotilo	Quickella arenaria	Stable population	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	
silokotilo	Cochlicopa lubrica	Stable population	LC (2019)		
kapeasilokotilo	Cochlicopa lubricella	Stable population	LC (2019)		Cochlicopa minima
pulleasilokotilo	Cochlicopa nitens	Stable population	CR (2019)		
harjakotilo	Vallonia costata	Stable population	LC (2019)		
sirokotilo	Vallonia pulchella	Stable population	LC (2019)		
soikeasirokotilo	Vallonia excentrica	Stable population	LC (2019)		
piikkikotilo	Acanthinula aculeata	Stable population	NT (2019)	Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
varpukotilo	Zoogenetes harpa	Stable population	LC (2019)		Acanthinula harpa
sammalkotilo	Pupilla muscorum	Stable population	LC (2019)		
hampaatonsiemenkotilo	Columella edentula	Stable population	LC (2019)		
lapinsiemenkotilo	Columella columella	Stable population	NT (2019)	OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
karheasiemenkotilo	Columella aspera	Stable population	LC (2019)		
alppisiemenkotilo	Vertigo alpestris	Stable population	LC (2019)		
seitsensiemenkotilo	Vertigo antivertigo	Stable population	LC (2019)		Pupa antivertigo
tunturisiemenkotilo	Vertigo extima	Stable population	NT (2019)	Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
lilljeborginsiemenkotilo	Vertigo lilljeborgi	Stable population	LC (2019)		
kalkkisiemenkotilo	Vertigo genesii	Stable population	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Animal species that are protected in the whole country(NCD 2023/1066, Appendix 1); EU Habitats Directive Annex II; EU Habitats Directive Annex II, Finland's Natura species; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
lettosiemenkotilo	Vertigo geyeri	Stable population	NT (2019)	Animal species that are protected in the whole country(NCD 2023/1066, Appendix 1); EU Habitats Directive Annex II; EU Habitats Directive Annex II, Finland's Natura species; Aapamire species – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	Vertigo genesii geyeri
pohjansiemenkotilo	Vertigo modesta	Stable population	LC (2019)		Vertigo arctica (Wallenberg, 1858); Vertigo modesta arctica (Wallenberg, 1858)
vasensiemenkotilo	Vertigo pusilla	Stable population	LC (2019)		
pikkusiemenkotilo	Vertigo pygmaea	Stable population	NT (2019)	Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Pupa pygmaea
ruskeasiemenkotilo	Vertigo ronnebyensis	Stable population	LC (2019)		
uurresiemenkotilo	Vertigo substriata	Stable population	LC (2019)		
kapeasiemenkotilo	Vertigo angustior	Stable population	NT (2019)	Animal species that are protected in the whole country(NCD 2023/1066, Appendix 1); EU Habitats Directive Annex II; EU Habitats Directive Annex II, Finland's Natura species	
ahmattikotilo	Merdigera obscura	Stable population	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Connectivity of forest conservation areas – SUMI Project 2020; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	Ena obscura
sileäsulkukotilo	Cochlodina laminata	Stable population	LC (2019)		Marpessa laminata
soukkasulkukotilo	Ruthenica filograna	Stable population	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
isosulkukotilo	Macrogastra ventricosa	Stable population	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	Clausilia ventricosa
poimusulkukotilo	Macrogastra plicatula	Stable population	NT (2019)	Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Iphigena plicatula; Clausilia plicatula
idänsulkukotilo	Macrogastra borealis	Stable population	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	Macrogastra latestriata (Schmidt, 1856)
rannikkosulkukotilo	Clausilia bidentata	Stable population	LC (2019)		
ristisulkukotilo	Clausilia cruciata	Stable population	LC (2019)		
hienouurresulkukotilo	Clausilia dubia	Stable population	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
uurteiskotilo	Balea perversa	Stable population	LC (2019)		
harmaasulkukotilo	Bulgarica cana	Stable population	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Species to be protected urgently (Finnish Environment Institute 2020); Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	Clausilia cana; Laciniaria cana
suorasuusulkukotilo	Paracochlodina orthostoma	Stable population	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	Clausilia orthostoma; Cochlodina orthostoma (Menke, 1828)
kääpiökotilo	Punctum pygmaeum	Stable population	LC (2019)		
napakotilo	Discus ruderatus	Stable population	LC (2019)		Coniodiscus ruderatus; Pyramidula ruderata; Goniodiscus ruderatus
täplänapakotilo	Gonyodiscus rotundatus	Anthropogenic	NA (2019)		Coniodiscus rotundatus; Goniodiscus rotundatus; Discus rotundatus (O. F. Müller, 1774)
