Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
Man	Homo sapiens	Stable population			
Canadian beaver	Castor canadensis	Anthropogenic	NA (2019)	Game mammal (Hunting law 1993/615; 2019/683); Invasive alien species of Union concern (EU 2016/1141; 2017/1263; 2019/1262; 2022/1203; 2025/1422); Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
European Beaver	Castor fiber	Stable population	NT (2019)	EU Habitats Directive Annex II; EU Habitats Directive Annex IV; EU Habitats Directive Annex V; EU Habitats Directive Annex II, exception granted for Finnish populations; EU Habitats Directive Annex IV, exception granted for Finnish populations; Game mammal (Hunting law 1993/615; 2019/683); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	
Northern birch mouse	Sicista betulina	Stable population	LC (2019)	Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex IV; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; Species used in the automatic procedure for forest use notifications (MKI-OHKE 2023)	
Striped Field Mouse	Apodemus agrarius	Stable population	LC (2019)		
Yellow-necked Field Mouse	Apodemus flavicollis	Stable population	LC (2019)	Unprotected animal (Hunting law 1993/615)	
Eurasian Harvest Mouse	Micromys minutus	Stable population	LC (2019)		
House Mouse	Mus musculus	Stable population	LC (2019)	Unprotected animal (Hunting law 1993/615)	
House Rat	Rattus rattus	Extinct	RE (2019)		
Brown Rat	Rattus norvegicus	Anthropogenic	NA (2019)	Unprotected animal (Hunting law 1993/615); Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Norway Lemming	Lemmus lemmus	Stable population	LC (2019)		
Field Vole	Microtus agrestis	Stable population	LC (2019)	Unprotected animal (Hunting law 1993/615)	
Common Vole	Microtus arvalis	Stable population	NT (2019)	Unprotected animal (Hunting law 1993/615)	
Root Vole	Microtus oeconomus	Stable population	LC (2019)	Unprotected animal (Hunting law 1993/615)	Alexandromys oeconomus (Pallas, 1776)
Sibling Vole	Microtus levis	Stable population	LC (2019)		Microtus rossiaemeridionalis Ognev, 1923
Wood Lemming	Myopus schisticolor	Stable population	LC (2019)		
Muskrat	Ondatra zibethicus	Anthropogenic	NA (2019)	Invasive alien species of Union concern (EU 2016/1141; 2017/1263; 2019/1262; 2022/1203; 2025/1422); Finland’s National Strategy on Invasive Alien Species (GR 2012)	Ondatra zibethica
European Water Vole	Arvicola amphibius	Stable population	LC (2019)	Unprotected animal (Hunting law 1993/615)	Arvicola terrestris (Linnaeus, 1758)
Bank Vole	Myodes glareolus	Stable population	LC (2019)	Unprotected animal (Hunting law 1993/615)	Clethrionomys glareolus (Schreber, 1780)
Grey-sided Vole	Myodes rufocanus	Stable population	LC (2019)		Clethrionomys rufocanus (Sundevall, 1846); Craseomys rufocanus (Sundevall, 1846)
Red Vole	Myodes rutilus	Stable population	LC (2019)		Clethrionomys rutilus (Pallas, 1779)
Garden dormouse	Eliomys quercinus	Extinct	RE (2019)		
Eurasian Red Squirrel	Sciurus vulgaris	Stable population	LC (2019)	Game mammal (Hunting law 1993/615; 2019/683)	
Siberian Flying Squirrel	Pteromys volans	Stable population	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex II; EU Habitats Directive Annex IV; Priority species (EU Habitats Directive, Appendix II); EU Habitats Directive Annex II, Finland's Natura species; Connectivity of forest conservation areas – SUMI Project 2020; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Western hedgehog	Erinaceus europaeus	Stable population	LC (2019)		
Water shrew	Neomys fodiens	Stable population	LC (2019)		
Common Shrew	Sorex araneus	Stable population	LC (2019)		
Masked shrew	Sorex caecutiens	Stable population	LC (2019)		
Taiga shrew	Sorex isodon	Stable population	LC (2019)		
Least Shrew	Sorex minutissimus	Stable population	LC (2019)		
Pygmy Shrew	Sorex minutus	Stable population	LC (2019)		
Common mole	Talpa europaea	Stable population	LC (2019)		
Northern Bat	Eptesicus nilssonii	Stable population	LC (2019)	Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex IV; Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Eptesicus nilssoni (Keyserling and Blasius, 1839)
Common Serotine	Eptesicus serotinus	Irregular vagrant	NA (2019)	Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex IV	
Common Noctule	Nyctalus noctula	Irregular vagrant	NA (2019)	Species requiring strict protection within the European Union (NVF 2023/1066, Appendix 7); EU Habitats Directive Annex IV	
