Vernacular name	Scientific name	Status in Finland	Red List category in Finland	Regulatory Status	Synonyms
Mute Swan	Cygnus olor	Stable population; BirdLife Category A; Regular breeder	LC (2019)		
Tundra Swan	Cygnus columbianus	Passage migrant; BirdLife Category A		EU Directive on Conservation of Wild Birds Annex I	
Whooper Swan	Cygnus cygnus	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I	
Taiga Bean Goose	Anser fabalis	Stable population	VU (2019)	EU Directive on Conservation of Wild Birds Annex II/A; Migratory birds of the EU Birds Directive; Game bird (Hunting law 1993/615); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Anser fabalis fabalis (Latham, 1787)
Tundra Bean Goose	Anser serrirostris	Stable population	EN (2019)	EU Directive on Conservation of Wild Birds Annex II/A; Migratory birds of the EU Birds Directive; Game bird (Hunting law 1993/615)	Anser fabalis rossicus Buturlin, 1933; Anser serrirostris rossicus; Anser fabalis rossicus
Pink-footed Goose	Anser brachyrhynchus	Passage migrant; BirdLife Category A			
Greater White-fronted Goose	Anser albifrons	Passage migrant; BirdLife Category A		EU Directive on Conservation of Wild Birds Annex III/B	
Lesser White-fronted Goose	Anser erythropus	Irregular breeder; BirdLife Category A	CR (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex I; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
Greylag Goose	Anser anser	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/B; Game bird (Hunting law 1993/615)	
Bar-headed Goose	Anser indicus	Anthropogenic; BirdLife Category C; Irregular vagrant			
Ross's Goose	Anser rossii	BirdLife Category E; Anthropogenic; BirdLife Category A; Irregular vagrant			Anser rossi
Canada Goose	Branta canadensis	Regular breeder; Stable population; Anthropogenic; BirdLife Category C	NA (2019)	EU Directive on Conservation of Wild Birds Annex II/A; Game bird (Hunting law 1993/615); Finland’s National Strategy on Invasive Alien Species (GR 2012); Other invasive alien species of concern (not included on the national or EU list)	
Cackling Goose	Branta hutchinsii	BirdLife Category A; Irregular vagrant			
Barnacle Goose	Branta leucopsis	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex I	
Brant	Branta bernicla	Passage migrant; BirdLife Category A			
Red-breasted Goose	Branta ruficollis	BirdLife Category A; Irregular vagrant			
Ruddy Shelduck	Tadorna ferruginea	BirdLife Category A; Irregular vagrant			
Common Shelduck	Tadorna tadorna	Stable population; BirdLife Category A; Regular breeder	VU (2019)	Threatened species (NCD 2023/1066, Appendix 6); Migratory birds of the EU Birds Directive; OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471)	
Mandarin Duck	Aix galericulata	BirdLife Category C; Anthropogenic; Irregular vagrant			
Eurasian Wigeon	Anas penelope	Stable population; BirdLife Category A; Regular breeder	VU (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/B; Game bird (Hunting law 1993/615); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Mareca penelope (Linnaeus, 1758)
American Wigeon	Anas americana	BirdLife Category A; Irregular vagrant			Mareca americana (J.F. Gmelin, 1789)
Gadwall	Anas strepera	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/A; Migratory birds of the EU Birds Directive	Mareca strepera (Linnaeus, 1758)
Baikal Teal	Anas formosa	BirdLife Category A; Irregular vagrant			Sibirionetta formosa (Georgi, 1775)
Eurasian Teal	Anas crecca	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/B; Game bird (Hunting law 1993/615)	
Mallard	Anas platyrhynchos	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/A; Game bird (Hunting law 1993/615)	
American Black Duck	Anas rubripes	BirdLife Category A; Irregular vagrant			
Northern Pintail	Anas acuta	Stable population; BirdLife Category A; Regular breeder	VU (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/B; Migratory birds of the EU Birds Directive; Game bird (Hunting law 1993/615); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Garganey	Anas querquedula	Stable population; BirdLife Category A; Regular breeder	VU (2019)	EU Directive on Conservation of Wild Birds Annex II/A; Migratory birds of the EU Birds Directive; EU regulation regarding CITES, Appendix A; Game bird (Hunting law 1993/615); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	Spatula querquedula (Linnaeus, 1758)
Blue-winged Teal	Anas discors	BirdLife Category A; Irregular vagrant			Spatula discors (Linnaeus, 1766)
Northern Shoveler	Anas clypeata	Stable population; BirdLife Category A; Regular breeder	LC (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/B; Migratory birds of the EU Birds Directive; Game bird (Hunting law 1993/615); Regionally Threatened 2020 - 4a Northern boreal, Kuusamo district; Regionally Threatened 2020 - 4b Northern boreal, North Ostrobothnia; Regionally Threatened 2020 - 4c Northern boreal, Forest Lapland	Spatula clypeata (Linnaeus, 1758)
Red-crested Pochard	Netta rufina	BirdLife Category A; Irregular vagrant			
Common Pochard	Aythya ferina	Stable population; BirdLife Category A; Regular breeder	CR (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/B; Migratory birds of the EU Birds Directive; Game bird (Hunting law 1993/615); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Ring-necked Duck	Aythya collaris	BirdLife Category A; Irregular vagrant			
Ferruginous Duck	Aythya nyroca	BirdLife Category A; Irregular vagrant			
Tufted Duck	Aythya fuligula	Stable population; BirdLife Category A; Regular breeder	EN (2019)	EU Directive on Conservation of Wild Birds Annex II/A; EU Directive on Conservation of Wild Birds Annex III/B; Migratory birds of the EU Birds Directive; Game bird (Hunting law 1993/615); Safeguarding Endangered Species in Forestry – Lajiturva Project 2019–2021	
Greater Scaup	Aythya marila	Stable population; BirdLife Category A; Regular breeder	EN (2019)	Threatened species (NCD 2023/1066, Appendix 6); Species under strict protection (NCD 2023/1066, Appendix 6); EU Directive on Conservation of Wild Birds Annex III/B; Migratory birds of the EU Birds Directive; Species to be protected urgently (Finnish Environment Institute 2020); OUTDATED Species to be protected urgently (Finnish Environment Institute 2010-2011); OUTDATED Threatened species (NCD 1997/160, Appendix 4 2013/471); OUTDATED Species under strict protection (NCD 1997/160, Appendix 4 2013/471)	
Lesser Scaup	Aythya affinis	BirdLife Category A; Irregular vagrant			
